,adjmou,adjqty,adjrev,avg3mou,avg3qty,avg6mou,avg6qty,avgmou,avgqty,avgrev,change_mou,change_rev,eqpdays,months,mou_Mean,mou_cvce_Mean,mou_opkv_Mean,rev_Mean,totcalls,totmou,totrev,churn
16948,11574.0,6001,1284.25,339,160,511.0,223.0,526.09,272.77,58.38,223.25,10.8025,267.0,24,413.75,142.4966667,117.45333329999998,40.1775,6003,11579.0,1310.38,0
22331,11425.0,3196,766.7,1657,368,1257.0,299.0,672.06,188.0,45.1,-264.0,-15.95,200.0,25,1569.0,1188.426667,1144.2,57.71,3477,12736.0,845.12,1
16214,18911.22,6224,4400.59,145,22,273.0,79.0,461.25,151.8,107.33,5.75,-6.9,644.0,48,147.25,47.35,53.04333333,38.93,6340,19149.22,4496.76,0
11293,7128.0,3636,1686.65,571,206,529.0,208.0,254.57,129.86,60.24,41.5,-29.925,860.0,29,584.5,462.16,76.01333333,137.355,3648,7145.0,1716.16,1
35366,11010.0,6816,1507.57,445,279,393.0,271.0,458.75,284.0,62.82,54.0,0.0,767.0,26,463.0,302.2733333,17.15333333,59.99,6949,11457.0,1599.51,0
20011,18985.0,9129,2464.46,571,323,618.0,334.0,558.38,268.5,72.48,249.25,27.8725,245.0,35,653.75,229.3833333,55.75666667,72.6175,9129,18985.0,2726.12,0
26747,13547.0,3957,2284.55,1517,479,1589.0,491.0,1693.38,494.63,285.57,-309.75,-37.69,268.0,9,1413.75,556.5166667000002,244.71,249.54,4079,14125.0,2390.61,1
34624,11297.0,4048,1062.71,485,208,798.0,292.0,1129.7,404.8,106.27,-264.5,-2.52,75.0,11,396.5,243.68,154.67,52.51,4073,11338.0,1147.55,1
14802,9846.0,3502,949.0,729,268,730.0,273.0,656.4,233.47,63.27,177.5,17.7525,483.0,16,788.5,389.8466667,207.3533333,69.9875,3502,9846.0,1012.23,0
32018,23264.0,6128,2516.88,971,220,824.0,201.0,750.45,197.68,81.19,-108.5,0.385,399.0,33,934.5,569.28,452.00333330000007,93.745,6179,23462.0,2581.15,1
4169,14709.0,4621,2752.75,1205,298,867.0,235.0,326.87,102.69,61.17,6.25,20.795,129.0,49,1206.75,709.62,546.1733333,327.175,4640,14776.0,2823.18,0
32827,26949.0,8461,1269.12,2675,822,2490.0,741.0,2449.91,769.18,115.37,-231.25,-31.8125,205.0,12,2598.25,1342.993333,1163.223333,106.8025,8522,27131.0,1349.1,0
7646,7385.0,3512,1551.49,360,158,319.0,148.0,263.75,125.43,55.41,-34.75,-6.295,217.0,30,348.75,190.9266667,61.51666667,46.785,3704,7850.0,1674.18,0
23137,21477.0,8076,1272.01,1837,689,1873.0,694.0,1652.08,621.23,97.85,-255.0,58.9875,404.0,14,1752.0,679.2533333,478.23333330000014,95.0425,8089,21513.0,1331.99,1
32892,27877.0,8758,3817.99,1221,478,1191.0,427.0,871.16,273.69,119.31,-352.5,-63.06,170.0,44,1103.5,333.6533333,202.71,71.95,8814,28015.0,3921.22,1
5369,40318.0,11208,193.91,2595,732,2591.0,753.0,2687.87,747.2,12.93,-238.25,-0.5925,483.0,16,2515.25,1944.78,215.62,10.5925,11755,42701.0,261.1,1
24659,19228.0,5741,4456.68,460,215,732.0,300.0,565.53,168.85,131.08,-344.75,-1.8575,874.0,36,344.75,124.1,64.36666667,55.0975,5828,19494.0,4599.12,1
34030,13054.0,5333,1206.61,726,246,841.0,319.0,767.88,313.71,70.98,45.5,29.3525,129.0,18,741.5,227.8366667,135.6733333,71.0375,5339,13060.0,1286.59,0
40085,7327.0,3561,765.21,909,414,1031.0,493.0,1046.71,508.71,109.32,470.75,-16.13,52.0,8,1066.25,338.4866667,220.7533333,96.64,3589,7384.0,876.54,0
18861,7021.0,3492,630.02,531,270,629.0,320.0,638.27,317.45,57.27,-392.75,-39.1875,90.0,12,399.75,129.5766667,55.39666667,37.2575,3515,7068.0,710.39,1
35676,9163.0,2373,658.01,1174,301,1132.0,293.0,1018.11,263.67,73.11,352.0,-9.88,293.0,10,1291.0,0.0,0.0,113.12,2389,9244.0,722.99,0
24561,32424.0,22234,2372.25,338,197,367.0,222.0,853.26,585.11,62.43,85.75,14.54,415.0,41,366.25,142.4033333,96.46666667,52.25,22326,32559.0,2444.58,1
21532,26514.0,8702,2986.37,2053,570,2027.0,528.0,1325.7,435.1,149.32,-668.5,2.2925,672.0,22,1830.5,727.78,711.6166667,175.7275,8881,26987.0,3090.77,1
11688,11604.0,4387,1172.29,781,252,683.0,225.0,892.62,337.46,90.18,-406.5,-32.9,132.0,14,645.5,399.6833333,93.59,96.89,4404,11633.0,1241.27,1
6543,6826.0,5175,530.13,747,532,663.0,483.0,379.22,287.5,29.45,-447.5,-11.3025,96.0,19,597.5,127.01,185.4233333,25.6525,5180,6836.0,583.46,1
13559,10440.0,2960,1809.78,453,147,573.0,146.0,360.0,102.07,62.41,43.75,0.0,282.0,30,467.25,191.5366667,208.7133333,74.99,2963,10444.0,1844.77,0
37125,25005.0,9027,2945.38,909,319,1112.0,352.0,862.24,311.28,101.56,-501.5,-5.1975,293.0,30,741.5,368.1533333,258.9466667,83.4375,9029,25009.0,3023.47,0
20378,7205.0,3577,1120.98,532,307,624.0,321.0,423.82,210.41,65.94,-48.25,-13.3325,828.0,28,516.25,263.85333330000003,105.3533333,64.3225,3867,8070.0,1273.47,1
21250,24403.0,12055,2812.37,187,96,317.0,160.0,508.4,251.15,58.59,-43.5,0.0,1254.0,49,172.5,79.53,87.97666667,49.99,12231,24684.0,2903.07,1
2994,6949.0,3944,1006.41,363,213,477.0,244.0,386.06,219.11,55.91,-85.0,-0.495,197.0,19,335.0,115.15666670000002,49.14333333,51.475,3980,7000.0,1046.06,0
7798,23440.0,11757,2985.1,804,388,801.0,420.0,868.15,435.44,110.56,-56.25,2.545,211.0,29,785.25,196.2666667,187.9166667,84.075,11933,23741.0,3112.15,1
16504,11060.0,5904,1764.49,84,30,57.0,22.0,298.92,159.57,47.69,111.75,120.035,293.0,41,121.25,21.44333333,20.05333333,105.565,6067,11435.0,1901.14,1
14929,10590.0,6317,1590.1,459,292,448.0,283.0,392.22,233.96,58.89,49.25,5.625,291.0,29,475.75,207.0666667,76.21666667,77.955,6426,10771.0,1647.28,0
37383,11424.0,2173,852.88,1863,295,1570.0,285.0,1428.0,271.63,106.61,1133.5,154.425,34.0,10,2240.5,1156.62,1354.446667,153.295,2188,11470.0,926.2,0
38401,13788.0,2650,780.6,2008,447,1763.0,343.0,1532.0,294.44,86.73,220.75,20.765,293.0,10,2081.25,1056.103333,1250.28,119.825,2652,13866.0,840.58,0
22197,11836.0,4434,1033.21,368,64,467.0,112.0,408.14,152.9,35.63,-231.25,-14.0175,902.0,30,291.25,77.07,62.72666667,39.4075,4434,11836.0,1059.03,1
25308,18885.0,3706,1213.32,2274,412,1986.0,361.0,1716.82,336.91,110.3,681.0,115.8,103.0,12,2501.0,1162.216667,1314.726667,206.99,3720,18992.0,1278.93,1
17327,49300.0,14685,3264.13,2401,324,2388.0,474.0,1700.0,506.38,112.56,-555.25,-0.1725,309.0,30,2216.25,1393.696667,1671.11,76.5825,14693,49321.0,3313.79,1
26506,10985.0,4449,202.97,1622,638,1831.0,742.0,1830.83,741.5,33.83,209.75,36.605,91.0,7,1692.25,461.70333330000005,606.4366667,42.385,4458,11009.0,292.85,0
15192,29891.16,11213,3311.34,1519,484,1556.0,503.0,649.81,243.76,71.99,-192.25,-38.71,103.0,47,1455.25,458.9033333,206.9433333,117.96,11324,30109.15667,3612.87,0
19014,11751.0,2711,792.76,925,130,774.0,108.0,618.47,142.68,41.72,-80.75,16.83,429.0,20,897.75,426.38666669999986,470.16,16.27,2720,11776.0,830.96,0
36126,23621.0,7028,2076.01,1025,279,1124.0,347.0,1124.81,334.67,98.86,454.0,39.705,695.0,23,1176.0,593.4733332999998,606.8866667000002,84.285,7092,23871.0,2186.81,0
13101,14555.0,5613,1585.86,797,330,785.0,300.0,856.18,330.18,93.29,-65.25,0.29,583.0,19,775.25,479.3566667,328.02,51.5,6366,16357.0,1995.63,1
4208,10666.0,4117,1726.02,639,219,500.0,178.0,304.74,117.63,49.31,-184.25,-39.505,179.0,36,577.25,296.8666667,126.25,77.275,4135,10694.0,1768.04,1
32318,6708.0,3066,405.52,127,31,133.0,28.0,670.8,306.6,40.55,174.25,0.0,344.0,12,184.75,0.0,0.0,34.99,3559,7495.0,496.06,1
25924,8687.0,3081,914.56,516,154,262.0,79.0,511.0,181.24,53.8,239.75,41.515,577.0,19,596.25,221.0566667,200.0933333,96.475,3203,8912.0,968.74,0
11263,9286.0,2109,906.4,450,103,473.0,104.0,580.38,131.81,56.65,78.75,0.2175,226.0,17,476.25,150.84,194.74,53.2525,2113,9304.0,986.38,1
1939,15185.0,3597,1486.2,1043,216,967.0,220.0,893.24,211.59,87.42,-186.75,-2.8125,528.0,18,980.75,666.3133333,631.24,91.8025,3600,15226.0,1594.74,1
28151,9011.0,6022,900.93,430,323,726.0,517.0,563.19,376.38,56.31,71.75,3.1725,326.0,41,454.25,119.9333333,125.99,37.7075,6201,9301.0,959.66,1
25337,20608.0,8173,3047.46,770,322,820.0,334.0,896.0,355.35,132.5,-52.25,8.4625,726.0,24,752.25,294.9766667,96.57,112.7075,8185,20626.0,3100.79,1
26326,7169.0,3460,1427.15,166,87,201.0,107.0,256.04,123.57,50.97,-36.25,6.025,41.0,30,154.25,85.43333333,25.82333333,53.965,3473,7189.0,1471.11,0
25845,22512.0,5931,1574.37,2704,544,2545.0,569.0,1500.8,395.4,104.96,-623.25,-58.9075,86.0,16,2496.25,1248.163333,925.8533333,161.1175,5931,22512.0,1679.36,0
22614,8529.0,3254,1258.39,264,103,342.0,118.0,473.83,180.78,69.91,-44.25,-0.315,577.0,19,249.25,137.16,32.71333333,38.295,3254,8529.0,1291.07,0
547,13483.0,3347,713.88,1543,303,1381.0,305.0,1037.15,257.46,54.91,-556.75,-16.185,419.0,14,1357.75,1105.39,1100.333333,59.425,3347,13483.0,777.12,0
33390,15361.0,4503,1252.16,2668,788,2560.0,751.0,2560.17,750.5,208.69,-234.5,-115.705,75.0,7,2589.5,1318.943333,966.1366667,172.595,4524,15432.0,1282.87,1
11786,11724.0,3712,2037.68,772,247,728.0,225.0,532.91,168.73,92.62,-0.75,4.6225,715.0,24,771.75,370.1033333,29.52666667,121.2775,3721,11757.0,2097.36,1
39196,7785.0,2833,695.66,1065,326,875.0,288.0,778.5,283.3,69.57,30.75,-7.4625,328.0,11,1075.25,375.78,392.7733333,92.6525,2842,7807.0,778.89,0
28427,17910.0,3049,1464.14,2033,256,1739.0,240.0,995.0,169.39,81.34,283.75,22.4475,28.0,28,2127.25,1979.153333,1563.223333,78.1325,3164,18255.0,1564.48,1
2062,7559.0,4231,714.28,384,252,478.0,327.0,472.44,264.44,44.64,-57.25,3.75,205.0,17,365.25,105.06333329999998,102.58,46.25,4329,7700.0,778.15,1
12967,25885.0,16927,2476.11,1282,613,1402.0,570.0,719.03,470.19,68.78,-161.5,-109.99,56.0,38,1228.5,549.7133332999998,711.3866667000002,91.34,17275,26592.0,2606.19,0
23525,10953.0,4775,1271.15,765,281,1173.0,493.0,1095.3,477.5,127.12,-109.5,-1.1475,234.0,11,728.5,385.5466667,114.1933333,76.1375,4780,10964.0,1321.14,0
10644,17452.0,6084,2117.35,363,141,435.0,185.0,793.27,276.55,96.24,-5.25,-0.72,133.0,23,361.25,278.98,75.95333333,61.7,6101,17486.0,2172.18,1
27517,10304.0,3046,803.22,740,208,1127.0,319.0,936.73,276.91,73.02,425.25,50.95,342.0,12,881.75,359.2433333,299.37,68.64,3047,10305.0,868.2,0
12256,12213.0,3873,1502.39,500,166,554.0,188.0,508.88,161.38,62.6,107.25,-4.315,432.0,25,535.75,243.33,94.62,64.075,3889,12244.0,1538.52,1
14961,15473.0,8224,1733.86,882,309,693.0,273.0,773.65,411.2,86.69,-177.5,-44.3125,271.0,21,822.5,365.07,192.03,98.5425,8415,15966.0,1889.81,1
2648,12125.0,2184,1185.81,642,85,645.0,101.0,551.14,99.27,53.9,814.5,-24.9375,683.0,23,913.5,408.9566667,427.01333330000006,34.9175,2201,12212.0,1239.14,1
31145,11619.0,3819,1234.58,811,256,705.0,207.0,774.6,254.6,82.31,-146.0,-19.65,508.0,17,762.0,380.1133333,183.3,100.52,3867,11750.0,1326.25,0
34873,35265.0,10089,4134.36,471,158,637.0,205.0,1037.21,296.74,121.6,-25.75,-5.2925,307.0,36,462.75,201.64,215.38,41.2725,10140,35351.0,4204.34,1
35899,14379.0,5593,1370.03,988,353,906.0,334.0,684.71,266.33,65.24,-320.75,-3.0225,303.0,22,880.75,502.29,471.72,58.9925,5594,14381.0,1401.95,1
2393,8280.0,2757,1668.61,319,106,299.0,106.0,276.0,91.9,55.62,169.5,1.625,253.0,32,375.5,165.9566667,35.00333333,48.375,2919,8749.0,1764.52,1
16026,37291.0,10409,5642.43,534,193,689.0,231.0,703.6,196.4,106.46,79.0,64.5625,374.0,56,560.0,155.5633333,130.19333329999998,136.4175,10464,37396.0,5715.43,1
14766,11030.0,2851,632.2,1005,304,981.0,286.0,1103.0,285.1,63.22,-250.25,58.17,10.0,11,921.25,257.7033333,351.4,58.76,2876,11103.0,715.43,0
25053,68377.0,16375,5532.08,1782,540,1898.0,537.0,1454.83,348.4,117.7,641.75,90.7725,176.0,49,1996.25,957.5433333,645.8233333,143.9075,16532,69098.0,5694.36,1
40068,9329.0,7183,897.35,629,482,604.0,468.0,518.28,399.06,49.85,-54.75,-10.28,156.0,19,610.75,126.5966667,133.12,53.52,7209,9359.0,940.51,0
5792,22623.0,3651,875.86,1811,354,2197.0,383.0,2262.3,365.1,87.59,-624.5,-6.39,330.0,11,1602.5,1002.493333,749.39,81.77,3657,22679.0,980.84,1
1118,46462.0,14133,3563.92,1700,434,1801.0,476.0,1327.49,403.8,101.83,210.5,31.175,161.0,36,1770.5,1154.1,611.67,121.075,14228,46670.0,3616.05,0
33466,8126.0,2399,691.74,1183,339,851.0,226.0,812.6,239.9,69.17,-139.5,-13.95,116.0,13,1136.5,453.9133333,614.5833332999998,68.33,2401,8128.0,751.73,0
849,14560.0,4008,843.46,1584,441,1418.0,394.0,1456.0,400.8,84.35,-1181.75,-69.795,325.0,11,1189.75,745.1566667000002,614.8666667,69.795,4019,14601.0,964.97,1
29476,9130.0,3193,1198.36,634,234,582.0,211.0,507.22,177.39,66.58,78.25,16.19,562.0,19,659.75,292.1233333,238.5733333,62.23,3194,9131.0,1241.59,0
33354,24502.0,4374,1972.96,2483,397,2564.0,409.0,1441.29,257.29,116.06,273.25,-64.5425,69.0,29,2573.75,1888.92,1366.906667,140.7525,4397,24558.0,2043.25,0
1971,9947.0,2929,1121.97,1050,300,801.0,234.0,585.12,172.29,66.0,-197.5,-45.8925,542.0,18,984.5,512.72,418.44,85.5625,2959,10042.0,1208.86,0
39690,49448.0,28963,2637.21,1181,556,1201.0,587.0,1074.96,629.63,57.33,20.25,14.83,575.0,47,1187.75,230.52,405.09,45.33,29030,49525.0,2716.66,0
8972,16897.0,9850,2087.78,1006,601,875.0,513.0,625.81,364.81,77.33,-225.5,-33.2475,131.0,29,930.5,267.61,71.67333333,114.0175,9909,17003.0,2166.81,1
29363,8606.0,4804,824.61,1378,748,1085.0,592.0,1075.75,600.5,103.08,-1033.5,-50.3275,130.0,9,1033.5,343.15,276.5366667,104.3175,4837,8702.0,894.58,1
28154,22970.0,9649,2564.92,1844,656,1680.0,585.0,1044.09,438.59,116.59,-657.0,-18.59,209.0,23,1625.0,497.42,550.4366667,93.58,9649,22970.0,2748.91,1
21236,16745.0,8690,638.68,717,369,868.0,444.0,797.38,413.81,30.41,-159.75,-15.185,308.0,23,663.75,311.6866667,224.23,25.185,8847,17077.0,731.87,1
35855,24323.0,12193,1585.32,988,573,1089.0,580.0,1105.59,554.23,72.06,466.25,45.5025,586.0,24,1143.75,353.3133333,355.5866667,91.4175,12418,24690.0,1655.98,1
12704,16788.0,3207,2179.24,817,177,785.0,154.0,621.78,118.78,80.71,552.0,-2.14,298.0,29,1001.0,567.0433333,150.33333330000005,96.08,3228,16863.0,2234.48,0
7481,30162.0,15085,3103.5,1434,639,1253.0,553.0,837.83,419.03,86.21,-13.5,-34.46,295.0,38,1429.5,483.7166667,335.8766667,114.4,15403,30770.0,3170.9,0
9640,10549.0,1861,1071.8,1045,199,1241.0,200.0,959.0,169.18,97.44,766.25,79.9125,380.0,13,1300.75,626.7233332999998,699.8866667000002,81.4875,1868,10567.0,1141.78,1
6434,14871.0,7793,1675.22,17,11,156.0,77.0,646.57,338.83,72.84,1.5,0.0,327.0,30,17.5,3.27,1.613333333,19.99,8247,15567.0,1754.59,1
32852,15706.0,2927,895.09,1208,188,1212.0,189.0,713.91,133.05,40.69,127.25,-27.0975,345.0,23,1250.75,922.3033332999997,790.7333332999998,62.0875,2936,15723.0,927.09,0
27825,12910.0,3523,1369.86,558,155,626.0,163.0,537.92,146.79,57.08,131.75,7.425,769.0,25,602.25,395.07,127.10666670000002,53.065,3527,12918.0,1400.82,1
30747,42508.04,17633,5041.59,894,438,1011.0,483.0,924.09,383.33,109.6,-280.75,0.3975,367.0,48,800.75,391.6466667,127.38,82.7925,17898,43090.04,5176.7,1
17970,8202.0,3592,908.71,175,94,229.0,121.0,328.08,143.68,36.35,231.5,16.7925,807.0,27,252.5,60.27,76.12333333,40.6275,3743,8429.0,955.86,1
19725,15361.0,7660,1488.91,930,441,909.0,435.0,853.39,425.56,82.72,23.75,-2.61,353.0,19,938.25,303.4966667,267.4666667,85.41,7937,15819.0,1581.91,1
30915,11952.0,4724,632.84,903,305,949.0,382.0,996.0,393.67,52.74,80.5,-12.615,371.0,13,929.5,352.05,381.3,52.595,4728,11962.0,698.45,0
23556,14287.0,3396,1645.31,492,127,1244.0,259.0,952.47,226.4,109.69,-369.0,-43.4325,498.0,16,369.0,55.33666667,31.61,43.4325,3409,14308.0,1718.54,0
12266,9691.0,3152,1028.27,946,274,841.0,255.0,807.58,262.67,85.69,-169.0,-0.9475,369.0,13,890.0,397.8166667,387.7066667,71.5275,3152,9691.0,1088.25,1
36215,16867.0,7117,2525.52,538,244,586.0,250.0,766.68,323.5,114.8,-399.75,-63.71,297.0,23,404.75,270.7566667,57.46,62.75,7372,17635.0,2781.18,1
18279,53744.12,26169,3948.37,1528,799,1431.0,742.0,1194.31,581.53,87.74,-272.5,58.215,240.0,46,1437.5,381.2166667,552.5366667000002,90.855,26262,53891.12333,4030.65,1
7118,10006.0,778,1202.79,2591,95,1510.0,82.0,833.83,64.83,100.23,-1154.75,-268.2975,391.0,13,2205.75,3080.2,2986.753333,279.2875,779,10007.0,1242.78,1
8408,13421.0,4292,1865.08,468,145,500.0,150.0,419.41,134.13,58.28,-63.5,-11.3075,267.0,35,446.5,257.1666667,106.5966667,62.2475,4407,13755.0,1958.59,0
34215,9325.0,4381,1078.92,372,196,375.0,195.0,405.43,190.48,46.91,-20.5,-3.155,724.0,24,365.5,116.93666670000002,25.23666667,43.145,4381,9325.0,1360.52,0
33247,9273.0,1704,330.94,1334,238,1406.0,247.0,1324.71,243.43,47.28,-348.75,-4.2425,221.0,8,1217.75,1121.776667,983.27,44.2325,1706,9277.0,416.82,1
32757,22762.0,3789,2093.06,1764,259,2095.0,291.0,2069.27,344.45,190.28,924.75,41.44,411.0,14,2072.25,563.2033332999998,559.91,103.46,4015,24081.0,2198.45,0
30308,9668.0,3832,812.21,607,210,638.0,234.0,604.25,239.5,50.76,-209.0,-2.0,209.0,17,537.0,284.2933333000001,134.47,34.49,3865,9801.0,848.89,0
36951,37915.0,29495,2065.4,1529,1174,1627.0,1246.0,1354.11,1053.39,73.76,-272.5,-6.1875,79.0,40,1438.5,217.7033333,349.2333333,65.1675,30267,38853.0,2106.49,0
2732,34603.0,19052,3360.37,1331,702,1280.0,664.0,1153.43,635.07,112.01,-106.75,-18.7075,197.0,33,1295.75,475.9266667,231.75,105.0775,19072,34628.0,3407.34,0
12252,6846.0,4186,1359.4,0,0,186.0,115.0,402.71,246.24,79.96,9.0,-80.22,10.0,19,3.0,1.89,0.39,39.09,4317,7018.0,1533.63,1
9290,21329.0,9123,2806.03,606,218,631.0,263.0,473.98,202.73,62.36,-79.75,-24.3325,779.0,46,579.75,313.94,165.38,86.7125,9130,21344.0,2838.87,1
34675,9143.0,3164,1828.23,119,44,128.0,52.0,268.91,93.06,53.77,-14.75,0.0,882.0,38,113.75,72.23,18.17,53.25,3205,9265.0,1929.41,0
13087,25022.0,11098,2455.97,1261,621,1300.0,612.0,1251.1,554.9,122.8,112.25,15.705,667.0,22,1298.75,524.6366667,465.44,103.505,11173,25219.0,2543.2,0
1084,8551.0,3482,1463.8,490,185,436.0,172.0,294.86,120.07,50.48,-54.5,-21.98,62.0,31,471.5,336.23,142.87,61.46,3500,8588.0,1517.78,0
35252,13982.0,6479,1300.98,945,449,1064.0,471.0,873.88,404.94,81.31,6.75,6.9425,503.0,17,947.25,280.4966667,372.71,60.9175,6483,13990.0,1360.96,0
26938,10088.0,3305,1295.65,739,228,725.0,240.0,672.53,220.33,86.38,135.5,-57.995,140.0,16,784.5,318.8633333,187.8933333,133.975,3320,10123.0,1375.63,0
37695,16511.0,2838,2566.73,880,130,832.0,124.0,660.44,113.52,102.67,-518.75,-53.0925,800.0,27,706.75,706.2533333,69.30666667,154.0725,2887,16756.0,2657.16,1
37222,11047.0,3117,1736.67,917,261,1051.0,309.0,1104.7,311.7,173.67,-177.5,-3.5625,311.0,11,857.5,530.0733333000002,154.3466667,100.9225,3127,11074.0,1772.02,0
1144,10286.0,2890,1930.08,500,141,550.0,184.0,791.23,222.31,148.47,31.25,-2.55,435.0,14,510.75,137.3966667,263.7,106.69,2949,10384.0,2048.02,0
12606,16920.0,6764,1615.62,1015,424,1018.0,412.0,940.0,375.78,89.76,-320.75,10.59,232.0,19,907.75,396.2066667,328.0166667,84.81,6797,17090.0,1672.07,1
23143,9064.0,3454,449.38,1164,417,1144.0,431.0,1007.11,383.78,49.93,250.0,65.4725,117.0,10,1247.0,503.92,551.46,67.9075,3455,9071.0,519.99,0
31251,14407.0,2916,797.96,1457,308,1591.0,328.0,1440.7,291.6,79.8,222.25,5.3525,329.0,11,1530.75,985.2566667,953.65,76.4375,2916,14407.0,892.95,0
27207,20285.0,5951,2020.39,989,265,1759.0,498.0,1690.42,495.92,168.37,-469.75,155.62,197.0,13,832.75,452.3466667,91.20666667,135.81,5957,20298.0,2126.72,1
31090,19130.0,13520,1453.55,935,570,806.0,506.0,797.08,563.33,60.56,-701.5,-23.0675,139.0,25,701.5,339.5033333,266.3966667,33.0675,13532,19151.0,1513.73,1
17945,8745.0,3084,539.22,446,162,665.0,236.0,795.0,280.36,49.02,423.0,67.22,359.0,12,587.0,187.2166667,228.18,56.98,3103,8793.0,599.21,1
18270,6873.0,3260,1002.98,520,244,477.0,236.0,381.83,181.11,55.72,149.5,8.1475,244.0,19,569.5,0.0,0.0,83.9525,3273,6894.0,1038.61,0
9968,7443.0,2505,694.94,1290,377,1241.0,418.0,1240.5,417.5,115.82,-329.0,-54.12,203.0,7,1180.0,491.3566667,418.5933333,103.3,2505,7443.0,784.82,1
35679,26791.0,8541,1988.91,2135,691,1891.0,575.0,1786.07,569.4,132.59,-857.25,-37.295,352.0,17,1849.25,733.2766667000002,590.2266667,122.765,8559,26829.0,2072.14,0
30704,7386.0,4294,738.47,595,349,728.0,419.0,820.67,477.11,82.05,-380.5,-14.3525,174.0,10,468.5,134.85,165.1233333,54.9025,4336,7449.0,825.57,0
24375,12648.0,5724,1711.63,1124,448,890.0,354.0,527.0,238.5,71.32,-168.75,-73.8225,53.0,25,1067.75,534.8333333,451.04,142.5225,5784,12747.0,1757.89,0
26401,9650.0,3036,1382.48,355,119,363.0,122.0,438.64,138.0,62.84,56.5,-7.2175,705.0,23,373.5,166.1533333,79.35333333,57.2175,3048,9693.0,1437.48,1
31009,13256.0,5179,2208.0,596,204,595.0,201.0,368.22,143.86,61.33,-249.25,-24.69,438.0,37,513.25,315.7233333000001,146.88,64.68,5194,13281.0,2242.0,0
36154,10865.0,2576,1024.51,1117,338,945.0,274.0,1086.5,257.6,102.45,-249.75,-7.7475,142.0,11,1033.75,690.85,287.0466667,86.7375,2589,10915.0,1099.5,1
22570,17729.0,4294,2132.98,1994,373,1448.0,279.0,984.94,238.56,118.5,34.5,-97.115,48.0,20,2005.5,1080.19,1292.37,185.875,4566,18382.0,2275.0,1
